Vardas              Pavarde             ND1       ND2       ND3       ND4       ND5       Egz.      
Vardas1             Pavarde1            1         2         9         9         5         4         
Vardas2             Pavarde2            1         5         2         3         3         6         
Vardas3             Pavarde3            10        5         9         5         1         5         
Vardas4             Pavarde4            5         9         8         1         5         4         
Vardas5             Pavarde5            5         6         10        7         3         5         
Vardas6             Pavarde6            5         2         9         10        10        9         
Vardas7             Pavarde7            10        10        3         10        9         3         
Vardas8             Pavarde8            7         5         4         10        6         6         
Vardas9             Pavarde9            7         8         5         1         5         10        
Vardas10            Pavarde10           2         5         1         2         9         4         
Vardas11            Pavarde11           4         8         2         8         8         1         
Vardas12            Pavarde12           1         6         9         2         2         6         
Vardas13            Pavarde13           9         4         4         3         2         9         
Vardas14            Pavarde14           4         1         9         2         1         9         
Vardas15            Pavarde15           1         1         3         5         6         2         
Vardas16            Pavarde16           5         1         4         1         5         7         
Vardas17            Pavarde17           8         1         3         4         8         3         
Vardas18            Pavarde18           3         1         4         10        10        10        
Vardas19            Pavarde19           10        7         3         10        6         10        
Vardas20            Pavarde20           4         1         8         5         9         5         
Vardas21            Pavarde21           7         9         9         2         3         9         
Vardas22            Pavarde22           1         4         9         7         5         9         
Vardas23            Pavarde23           7         10        6         2         2         2         
Vardas24            Pavarde24           10        8         2         1         7         1         
Vardas25            Pavarde25           8         2         5         1         3         1         
Vardas26            Pavarde26           3         7         10        9         5         2         
Vardas27            Pavarde27           3         1         6         6         1         8         
Vardas28            Pavarde28           7         7         7         1         2         9         
Vardas29            Pavarde29           6         7         7         5         3         1         
Vardas30            Pavarde30           1         10        7         1         10        10        
Vardas31            Pavarde31           8         6         2         9         1         7         
Vardas32            Pavarde32           6         2         3         10        10        7         
Vardas33            Pavarde33           6         7         9         10        2         7         
Vardas34            Pavarde34           2         2         9         10        1         10        
Vardas35            Pavarde35           7         2         4         3         4         7         
Vardas36            Pavarde36           4         4         9         3         8         9         
Vardas37            Pavarde37           10        1         9         8         10        3         
Vardas38            Pavarde38           6         2         10        1         10        7         
Vardas39            Pavarde39           3         6         6         5         3         10        
Vardas40            Pavarde40           2         5         1         7         1         10        
Vardas41            Pavarde41           9         7         10        10        1         1         
Vardas42            Pavarde42           7         9         8         6         8         3         
Vardas43            Pavarde43           6         6         9         7         1         2         
Vardas44            Pavarde44           9         10        4         1         3         10        
Vardas45            Pavarde45           10        6         4         3         9         5         
Vardas46            Pavarde46           10        8         3         2         8         6         
Vardas47            Pavarde47           2         3         10        3         3         8         
Vardas48            Pavarde48           3         9         3         8         5         1         
Vardas49            Pavarde49           6         1         4         4         9         8         
Vardas50            Pavarde50           10        5         4         9         1         9         
Vardas51            Pavarde51           5         7         1         1         8         7         
Vardas52            Pavarde52           8         1         4         8         2         5         
Vardas53            Pavarde53           3         6         9         8         3         3         
Vardas54            Pavarde54           9         2         10        2         8         6         
Vardas55            Pavarde55           9         2         1         6         9         4         
Vardas56            Pavarde56           7         7         8         2         6         8         
Vardas57            Pavarde57           8         9         5         7         4         5         
Vardas58            Pavarde58           6         7         1         7         1         6         
Vardas59            Pavarde59           3         2         4         1         2         6         
Vardas60            Pavarde60           6         8         2         2         9         1         
Vardas61            Pavarde61           3         8         2         3         4         9         
Vardas62            Pavarde62           5         6         2         4         4         6         
Vardas63            Pavarde63           2         6         1         9         4         8         
Vardas64            Pavarde64           10        1         6         5         4         1         
Vardas65            Pavarde65           8         1         6         6         6         1         
Vardas66            Pavarde66           1         2         8         3         8         5         
Vardas67            Pavarde67           8         4         4         9         6         5         
Vardas68            Pavarde68           6         4         2         10        7         8         
Vardas69            Pavarde69           6         2         1         1         7         5         
Vardas70            Pavarde70           2         7         6         8         7         3         
Vardas71            Pavarde71           10        2         9         10        2         4         
Vardas72            Pavarde72           5         9         8         4         5         7         
Vardas73            Pavarde73           1         6         1         8         9         10        
Vardas74            Pavarde74           2         8         9         7         4         6         
Vardas75            Pavarde75           7         3         7         2         7         4         
Vardas76            Pavarde76           8         6         10        3         4         9         
Vardas77            Pavarde77           3         2         9         2         2         5         
Vardas78            Pavarde78           2         7         3         8         6         10        
Vardas79            Pavarde79           4         7         9         4         10        4         
Vardas80            Pavarde80           3         8         5         5         7         6         
Vardas81            Pavarde81           7         5         7         5         6         1         
Vardas82            Pavarde82           2         3         3         6         2         1         
Vardas83            Pavarde83           9         10        7         9         2         7         
Vardas84            Pavarde84           8         5         5         10        1         7         
Vardas85            Pavarde85           3         7         9         10        6         10        
Vardas86            Pavarde86           9         6         4         10        3         7         
Vardas87            Pavarde87           7         1         4         2         1         3         
Vardas88            Pavarde88           10        4         3         5         9         4         
Vardas89            Pavarde89           3         10        7         10        6         6         
Vardas90            Pavarde90           8         8         2         5         3         6         
Vardas91            Pavarde91           3         10        2         3         7         9         
Vardas92            Pavarde92           9         6         8         10        9         8         
Vardas93            Pavarde93           8         9         4         2         6         10        
Vardas94            Pavarde94           5         8         2         6         6         9         
Vardas95            Pavarde95           10        2         7         2         3         2         
Vardas96            Pavarde96           3         6         3         4         10        9         
Vardas97            Pavarde97           10        1         7         4         5         10        
Vardas98            Pavarde98           3         7         2         7         5         9         
Vardas99            Pavarde99           3         9         2         4         3         6         
Vardas100           Pavarde100          3         5         3         8         3         9         
Vardas101           Pavarde101          5         5         6         2         6         8         
Vardas102           Pavarde102          1         5         6         10        7         5         
Vardas103           Pavarde103          4         9         9         7         9         5         
Vardas104           Pavarde104          8         7         6         1         10        2         
Vardas105           Pavarde105          9         7         9         5         5         5         
Vardas106           Pavarde106          10        10        9         7         1         8         
Vardas107           Pavarde107          2         5         6         9         1         3         
Vardas108           Pavarde108          8         5         3         5         3         3         
Vardas109           Pavarde109          6         4         9         10        3         6         
Vardas110           Pavarde110          1         8         7         7         1         4         
Vardas111           Pavarde111          6         1         2         2         7         2         
Vardas112           Pavarde112          4         2         4         10        10        7         
Vardas113           Pavarde113          1         7         7         2         8         2         
Vardas114           Pavarde114          4         5         9         8         10        7         
Vardas115           Pavarde115          5         4         2         2         4         1         
Vardas116           Pavarde116          5         9         3         8         4         1         
Vardas117           Pavarde117          1         9         2         10        4         6         
Vardas118           Pavarde118          6         8         9         7         5         6         
Vardas119           Pavarde119          4         9         7         5         6         6         
Vardas120           Pavarde120          4         6         10        3         2         4         
Vardas121           Pavarde121          2         4         9         4         8         9         
Vardas122           Pavarde122          5         10        3         2         4         5         
Vardas123           Pavarde123          4         2         7         8         7         8         
Vardas124           Pavarde124          4         8         2         8         2         5         
Vardas125           Pavarde125          3         1         6         6         9         6         
Vardas126           Pavarde126          2         1         9         7         6         8         
Vardas127           Pavarde127          1         7         2         7         4         8         
Vardas128           Pavarde128          10        1         9         10        3         2         
Vardas129           Pavarde129          2         6         4         10        8         4         
Vardas130           Pavarde130          10        9         7         10        2         9         
Vardas131           Pavarde131          2         5         6         1         1         9         
Vardas132           Pavarde132          6         5         2         2         2         6         
Vardas133           Pavarde133          10        9         8         6         9         3         
Vardas134           Pavarde134          8         10        10        8         3         5         
Vardas135           Pavarde135          2         9         4         3         5         6         
Vardas136           Pavarde136          1         8         9         2         3         7         
Vardas137           Pavarde137          6         9         5         9         3         10        
Vardas138           Pavarde138          1         9         3         2         5         10        
Vardas139           Pavarde139          1         3         1         9         1         1         
Vardas140           Pavarde140          1         8         1         9         2         5         
Vardas141           Pavarde141          1         3         8         7         3         3         
Vardas142           Pavarde142          10        2         2         8         3         6         
Vardas143           Pavarde143          5         8         1         5         2         4         
Vardas144           Pavarde144          10        1         5         1         7         3         
Vardas145           Pavarde145          8         2         8         9         5         7         
Vardas146           Pavarde146          2         1         7         8         7         4         
Vardas147           Pavarde147          6         7         1         8         3         5         
Vardas148           Pavarde148          1         6         7         6         5         8         
Vardas149           Pavarde149          6         2         10        5         7         1         
Vardas150           Pavarde150          8         10        3         5         8         4         
Vardas151           Pavarde151          10        2         8         6         7         10        
Vardas152           Pavarde152          5         6         6         10        3         5         
Vardas153           Pavarde153          9         3         2         5         4         7         
Vardas154           Pavarde154          2         7         7         1         10        10        
Vardas155           Pavarde155          10        6         1         8         8         4         
Vardas156           Pavarde156          3         4         1         8         3         8         
Vardas157           Pavarde157          6         10        7         2         10        3         
Vardas158           Pavarde158          2         3         8         10        6         7         
Vardas159           Pavarde159          4         2         4         3         3         5         
Vardas160           Pavarde160          6         6         2         9         3         1         
Vardas161           Pavarde161          9         3         7         10        1         3         
Vardas162           Pavarde162          9         10        5         2         5         2         
Vardas163           Pavarde163          5         6         10        10        6         9         
Vardas164           Pavarde164          1         4         7         2         4         6         
Vardas165           Pavarde165          1         9         4         9         5         6         
Vardas166           Pavarde166          10        8         7         2         8         6         
Vardas167           Pavarde167          7         4         10        1         4         4         
Vardas168           Pavarde168          10        9         7         6         2         9         
Vardas169           Pavarde169          5         3         1         9         6         6         
Vardas170           Pavarde170          3         2         3         3         7         6         
Vardas171           Pavarde171          6         4         9         5         5         2         
Vardas172           Pavarde172          10        9         5         1         7         3         
Vardas173           Pavarde173          5         4         1         9         10        8         
Vardas174           Pavarde174          6         4         3         1         10        8         
Vardas175           Pavarde175          3         1         1         5         1         2         
Vardas176           Pavarde176          2         5         9         7         4         3         
Vardas177           Pavarde177          9         7         1         1         7         7         
Vardas178           Pavarde178          3         10        6         2         6         4         
Vardas179           Pavarde179          4         3         8         1         7         4         
Vardas180           Pavarde180          8         8         6         6         1         1         
Vardas181           Pavarde181          3         4         1         1         2         4         
Vardas182           Pavarde182          6         4         5         2         10        4         
Vardas183           Pavarde183          3         5         8         7         6         3         
Vardas184           Pavarde184          7         4         5         2         2         4         
Vardas185           Pavarde185          8         1         7         10        2         7         
Vardas186           Pavarde186          10        9         10        10        5         5         
Vardas187           Pavarde187          8         3         2         3         4         7         
Vardas188           Pavarde188          2         4         7         10        10        7         
Vardas189           Pavarde189          1         3         7         7         8         6         
Vardas190           Pavarde190          5         7         8         7         7         1         
Vardas191           Pavarde191          1         9         10        4         3         9         
Vardas192           Pavarde192          3         9         8         1         2         4         
Vardas193           Pavarde193          2         8         9         5         7         5         
Vardas194           Pavarde194          2         10        1         9         5         3         
Vardas195           Pavarde195          2         6         4         2         5         4         
Vardas196           Pavarde196          10        4         10        6         6         4         
Vardas197           Pavarde197          6         9         1         5         4         7         
Vardas198           Pavarde198          7         3         7         4         2         9         
Vardas199           Pavarde199          9         1         4         7         5         1         
Vardas200           Pavarde200          2         4         7         10        7         5         
Vardas201           Pavarde201          10        1         2         3         3         3         
Vardas202           Pavarde202          1         8         9         5         4         6         
Vardas203           Pavarde203          8         2         2         7         2         8         
Vardas204           Pavarde204          2         10        1         9         2         8         
Vardas205           Pavarde205          6         5         8         2         5         5         
Vardas206           Pavarde206          3         2         3         10        7         3         
Vardas207           Pavarde207          4         2         7         2         4         5         
Vardas208           Pavarde208          1         4         4         9         3         10        
Vardas209           Pavarde209          3         8         1         3         9         7         
Vardas210           Pavarde210          4         3         8         7         1         3         
Vardas211           Pavarde211          3         2         5         3         6         1         
Vardas212           Pavarde212          1         9         10        7         6         10        
Vardas213           Pavarde213          4         2         4         6         2         6         
Vardas214           Pavarde214          2         7         8         2         8         6         
Vardas215           Pavarde215          4         6         1         8         1         1         
Vardas216           Pavarde216          1         6         5         2         3         2         
Vardas217           Pavarde217          3         7         9         3         7         4         
Vardas218           Pavarde218          3         2         3         4         1         8         
Vardas219           Pavarde219          8         8         5         6         2         7         
Vardas220           Pavarde220          9         8         9         3         10        1         
Vardas221           Pavarde221          1         10        9         3         7         4         
Vardas222           Pavarde222          8         8         9         3         6         2         
Vardas223           Pavarde223          8         8         5         2         1         2         
Vardas224           Pavarde224          7         1         2         5         2         8         
Vardas225           Pavarde225          4         5         1         10        9         5         
Vardas226           Pavarde226          3         6         10        7         5         10        
Vardas227           Pavarde227          4         7         8         7         3         9         
Vardas228           Pavarde228          3         6         3         5         5         6         
Vardas229           Pavarde229          5         7         5         3         2         3         
Vardas230           Pavarde230          7         1         9         3         3         2         
Vardas231           Pavarde231          8         7         4         1         10        5         
Vardas232           Pavarde232          1         5         8         2         8         7         
Vardas233           Pavarde233          3         3         8         1         4         4         
Vardas234           Pavarde234          1         3         6         2         6         8         
Vardas235           Pavarde235          10        7         10        1         4         4         
Vardas236           Pavarde236          1         2         9         6         1         3         
Vardas237           Pavarde237          7         4         6         2         7         5         
Vardas238           Pavarde238          1         10        5         8         9         9         
Vardas239           Pavarde239          10        10        8         7         8         6         
Vardas240           Pavarde240          9         9         10        2         5         10        
Vardas241           Pavarde241          10        7         10        1         6         5         
Vardas242           Pavarde242          3         4         3         3         10        4         
Vardas243           Pavarde243          6         9         7         6         9         8         
Vardas244           Pavarde244          9         7         9         3         7         3         
Vardas245           Pavarde245          7         1         10        10        7         9         
Vardas246           Pavarde246          10        4         4         7         5         6         
Vardas247           Pavarde247          5         8         6         8         6         3         
Vardas248           Pavarde248          2         6         6         4         7         4         
Vardas249           Pavarde249          10        6         3         1         9         5         
Vardas250           Pavarde250          4         2         8         2         3         8         
Vardas251           Pavarde251          6         3         5         10        3         5         
Vardas252           Pavarde252          2         7         2         4         10        9         
Vardas253           Pavarde253          8         1         7         10        10        4         
Vardas254           Pavarde254          4         5         1         4         10        2         
Vardas255           Pavarde255          6         1         2         4         3         9         
Vardas256           Pavarde256          1         3         1         4         10        7         
Vardas257           Pavarde257          6         4         1         3         8         7         
Vardas258           Pavarde258          10        5         4         4         9         9         
Vardas259           Pavarde259          1         10        4         9         7         2         
Vardas260           Pavarde260          8         1         9         6         1         7         
Vardas261           Pavarde261          2         9         5         4         2         2         
Vardas262           Pavarde262          7         5         5         2         3         6         
Vardas263           Pavarde263          6         8         5         4         9         8         
Vardas264           Pavarde264          1         9         2         7         1         1         
Vardas265           Pavarde265          1         7         3         8         3         10        
Vardas266           Pavarde266          8         7         7         6         1         1         
Vardas267           Pavarde267          10        10        7         7         6         10        
Vardas268           Pavarde268          5         8         5         7         7         4         
Vardas269           Pavarde269          3         8         2         8         10        5         
Vardas270           Pavarde270          2         5         8         2         9         9         
Vardas271           Pavarde271          2         5         9         2         3         5         
Vardas272           Pavarde272          8         8         3         4         9         5         
Vardas273           Pavarde273          9         3         2         5         6         9         
Vardas274           Pavarde274          6         10        8         10        7         2         
Vardas275           Pavarde275          2         4         8         9         3         5         
Vardas276           Pavarde276          6         8         2         4         7         1         
Vardas277           Pavarde277          9         1         5         9         9         3         
Vardas278           Pavarde278          10        5         7         4         7         3         
Vardas279           Pavarde279          10        5         1         9         1         5         
Vardas280           Pavarde280          10        5         7         7         2         1         
Vardas281           Pavarde281          1         8         6         3         5         3         
Vardas282           Pavarde282          5         6         9         6         6         10        
