Vardas              Pavarde             ND1       ND2       ND3       ND4       ND5       Egz.      
Vardas1             Pavarde1            6         6         6         7         7         8         
Vardas2             Pavarde2            3         7         8         10        3         3         
Vardas3             Pavarde3            10        8         6         2         7         2         
Vardas4             Pavarde4            3         8         6         5         3         2         
Vardas5             Pavarde5            1         2         4         4         3         1         
Vardas6             Pavarde6            4         4         2         9         4         9         
Vardas7             Pavarde7            10        5         10        1         9         8         
Vardas8             Pavarde8            9         2         6         3         7         5         
Vardas9             Pavarde9            5         7         4         6         8         7         
Vardas10            Pavarde10           7         1         7         8         6         6         
Vardas11            Pavarde11           3         5         2         8         3         3         
Vardas12            Pavarde12           4         10        6         3         3         5         
Vardas13            Pavarde13           4         5         2         8         1         2         
Vardas14            Pavarde14           9         8         5         1         5         6         
Vardas15            Pavarde15           7         5         4         2         10        5         
Vardas16            Pavarde16           6         6         2         4         6         1         
Vardas17            Pavarde17           5         6         6         1         1         7         
Vardas18            Pavarde18           1         1         4         2         6         3         
Vardas19            Pavarde19           8         8         4         2         1         4         
Vardas20            Pavarde20           10        10        10        6         10        8         
Vardas21            Pavarde21           8         4         2         7         10        9         
Vardas22            Pavarde22           3         4         1         2         10        5         
Vardas23            Pavarde23           7         5         1         4         9         1         
Vardas24            Pavarde24           3         6         9         1         1         4         
Vardas25            Pavarde25           7         3         10        5         2         4         
Vardas26            Pavarde26           8         9         4         5         8         5         
Vardas27            Pavarde27           7         6         5         1         2         2         
Vardas28            Pavarde28           5         9         4         1         4         9         
Vardas29            Pavarde29           1         6         1         2         3         1         
Vardas30            Pavarde30           4         5         9         1         5         3         
Vardas31            Pavarde31           6         1         6         9         3         8         
Vardas32            Pavarde32           9         10        5         5         4         9         
Vardas33            Pavarde33           4         1         6         4         2         9         
Vardas34            Pavarde34           3         7         7         9         2         10        
Vardas35            Pavarde35           10        6         3         2         5         10        
Vardas36            Pavarde36           5         3         8         5         10        3         
Vardas37            Pavarde37           6         7         7         9         6         8         
Vardas38            Pavarde38           8         10        5         5         3         7         
Vardas39            Pavarde39           7         7         9         1         8         10        
Vardas40            Pavarde40           6         9         6         2         1         3         
Vardas41            Pavarde41           10        5         3         9         10        7         
Vardas42            Pavarde42           3         5         8         8         4         8         
Vardas43            Pavarde43           4         9         8         2         8         3         
Vardas44            Pavarde44           8         7         1         8         3         2         
Vardas45            Pavarde45           1         5         3         10        3         4         
Vardas46            Pavarde46           10        9         1         2         1         1         
Vardas47            Pavarde47           7         3         3         10        7         7         
Vardas48            Pavarde48           9         8         5         5         1         2         
Vardas49            Pavarde49           9         3         3         6         10        5         
Vardas50            Pavarde50           10        7         10        4         4         10        
Vardas51            Pavarde51           4         2         3         10        5         9         
Vardas52            Pavarde52           10        10        10        6         9         4         
Vardas53            Pavarde53           7         1         4         8         3         8         
Vardas54            Pavarde54           3         9         2         5         9         3         
Vardas55            Pavarde55           1         8         2         1         8         10        
Vardas56            Pavarde56           10        4         7         9         10        7         
Vardas57            Pavarde57           10        4         7         7         1         4         
Vardas58            Pavarde58           7         7         1         10        10        9         
Vardas59            Pavarde59           7         10        8         7         9         3         
Vardas60            Pavarde60           2         9         3         10        3         7         
Vardas61            Pavarde61           8         3         3         1         8         2         
Vardas62            Pavarde62           9         4         4         7         1         2         
Vardas63            Pavarde63           1         6         1         1         6         5         
Vardas64            Pavarde64           1         4         8         9         2         10        
